epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,20.5967,1.14936,0.53333,1,0.93896,0.00020006,0.00020006,0.00020006
2,41.2326,0.78075,0.82222,1,0.46755,0.000393897,0.000393897,0.000393897
3,59.3147,0.49021,0.88889,1,0.23655,0.000566513,0.000566513,0.000566513
4,74.5563,0.33122,0.93333,1,0.18508,0.000717908,0.000717908,0.000717908
5,89.3315,0.26878,0.93333,1,0.21674,0.000848083,0.000848083,0.000848083
6,104.279,0.2435,0.95556,1,0.20942,0.000957037,0.000957037,0.000957037
7,119.313,0.19246,0.93333,1,0.20693,0.00100459,0.00100459,0.00100459
8,134.762,0.16649,0.93333,1,0.18062,0.000933851,0.000933851,0.000933851
9,149.311,0.15037,0.93333,1,0.13751,0.000863116,0.000863116,0.000863116
10,163.009,0.15743,0.95556,1,0.10663,0.00079238,0.00079238,0.00079238
11,177.702,0.16779,0.93333,1,0.13798,0.000721645,0.000721645,0.000721645
12,193.222,0.1176,0.93333,1,0.138,0.000650909,0.000650909,0.000650909
13,207.546,0.11057,0.97778,1,0.07509,0.000580174,0.000580174,0.000580174
14,222.011,0.1244,0.97778,1,0.09121,0.000509438,0.000509438,0.000509438
15,235.761,0.09064,0.97778,1,0.09371,0.000438703,0.000438703,0.000438703
16,252.471,0.11644,0.97778,1,0.10258,0.000367967,0.000367967,0.000367967
17,267.363,0.08921,0.97778,1,0.10267,0.000297232,0.000297232,0.000297232
18,282.154,0.09941,0.95556,1,0.10801,0.000226497,0.000226497,0.000226497
19,295.832,0.07073,0.97778,1,0.09304,0.000155761,0.000155761,0.000155761
20,311.842,0.06839,0.97778,1,0.08247,8.50255e-05,8.50255e-05,8.50255e-05
