epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,8.32527,1.09027,0.33333,1,1.10085,7.145e-05,7.145e-05,7.145e-05
2,17.3605,1.03229,0.33333,1,1.0811,0.000149409,0.000149409,0.000149409
3,25.8746,0.92329,0.66667,1,0.98996,0.00021888,0.00021888,0.00021888
4,34.2749,0.89976,0.77778,1,0.79361,0.000279863,0.000279863,0.000279863
5,42.6087,0.76725,0.77778,1,0.66139,0.000332357,0.000332357,0.000332357
6,51.226,0.62229,0.77778,1,0.6262,0.000376363,0.000376363,0.000376363
7,59.4232,0.56146,0.77778,1,0.51644,0.000411881,0.000411881,0.000411881
8,67.9802,0.51663,0.88889,1,0.37679,0.00043891,0.00043891,0.00043891
9,76.3709,0.41564,0.88889,1,0.28375,0.000457451,0.000457451,0.000457451
10,84.4581,0.38964,0.88889,1,0.25889,0.000467504,0.000467504,0.000467504
11,93.2007,0.30166,0.77778,1,0.25876,0.000469069,0.000469069,0.000469069
12,101.362,0.27145,0.77778,1,0.26223,0.000462146,0.000462146,0.000462146
13,109.55,0.26085,0.77778,1,0.37357,0.000446734,0.000446734,0.000446734
14,117.931,0.25062,0.77778,1,0.25043,0.000422834,0.000422834,0.000422834
15,126.033,0.24342,0.77778,1,0.23089,0.000390446,0.000390446,0.000390446
16,134.25,0.32254,0.77778,1,0.30418,0.000349569,0.000349569,0.000349569
17,142.395,0.34846,0.77778,1,0.26952,0.000297232,0.000297232,0.000297232
18,150.996,0.19427,0.77778,1,0.21607,0.000226497,0.000226497,0.000226497
19,159.093,0.12521,0.77778,1,0.18836,0.000155761,0.000155761,0.000155761
20,167.527,0.16878,0.77778,1,0.22561,8.50255e-05,8.50255e-05,8.50255e-05
