epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,85.7308,0.99898,0.6036,1,0.78757,0.000472725,0.000472725,0.000472725
2,165.58,0.77929,0.67568,1,0.72987,0.00090208,0.00090208,0.00090208
3,235.537,0.76633,0.58559,1,0.98285,0.00128428,0.00128428,0.00128428
4,310.055,0.79736,0.5991,1,1.07002,0.00121679,0.00121679,0.00121679
5,379.203,0.77266,0.66667,1,0.7884,0.00114606,0.00114606,0.00114606
6,446.757,0.67357,0.67568,1,0.94537,0.00107532,0.00107532,0.00107532
7,516.336,0.63433,0.67117,1,0.76512,0.00100459,0.00100459,0.00100459
8,589.351,0.60537,0.67117,1,0.82382,0.000933851,0.000933851,0.000933851
9,658.779,0.573,0.68468,1,0.95979,0.000863116,0.000863116,0.000863116
10,733.222,0.5337,0.68468,1,0.87031,0.00079238,0.00079238,0.00079238
11,805.184,0.50911,0.72523,1,0.8754,0.000721645,0.000721645,0.000721645
12,878.908,0.46851,0.74324,1,0.87428,0.000650909,0.000650909,0.000650909
13,948.548,0.45068,0.71171,1,0.95099,0.000580174,0.000580174,0.000580174
14,1016.69,0.44724,0.71622,1,0.83702,0.000509438,0.000509438,0.000509438
15,1093.5,0.43371,0.72973,1,0.97743,0.000438703,0.000438703,0.000438703
16,1161.8,0.40045,0.73874,1,0.87695,0.000367967,0.000367967,0.000367967
17,1232.92,0.37294,0.73423,1,1.03311,0.000297232,0.000297232,0.000297232
18,1300.33,0.36731,0.74775,1,0.95376,0.000226497,0.000226497,0.000226497
19,1368.91,0.35633,0.74775,1,0.94399,0.000155761,0.000155761,0.000155761
20,1437.01,0.33258,0.73874,1,0.90933,8.50255e-05,8.50255e-05,8.50255e-05
